,,
,,
s-code,Rating,Review
5299,5,Dabeli and Vadapav both were cold served means not interest in serving the warm food from the seller. 
5300,3,Don't buy any thing from them.
5301,5,don't buy from this outlet .worst product as well as worst packing
5302,5,green chutney was missing 
5303,5,parthchauhan
5304,3,"Best food, compared to the 100s of fake restaurant with huge prices and shit food, I am very pleased with this one."
5305,5,teste not good 
5306,5,Tooo cold at least have some responsibility while delivering it
5307,5,un nacessary delayed by om danawali shop but test is good
5308,5,vada pav quality is good but vadapav with chilly has taken 1 point away.
5309,3,I ordered cheese dabeli but I received normal oil dabeli<br/>Ndi pay for cheese dabeli
5310,5,anty 1 number Verity's thi saari thank you so much
5311,5,not proper packing and verybad quality.<br/>waste my money
5312,5,order for only 2 without onion dabeli out of 10 but delivered all 10 dabeli without onion
5313,3, nice but to frankie are are same type I wish next time you changed the the taste
5314,5,Vadapav was very bad with all mayonise. Rest items were good
5315,5,Very very bad taste Ane so spicy 🌶 <br/>N also bad packaging
5316,5,very poor paking  iteam  swating problem no testy <br/>🤔
5317,5,Overpriced.
5318,5,it was awesome 
5319,3,chicken is not as soft as I want
5320,5,I liked every thing but nuggets can be made better.. overall good..!! 👍🏻
5321,5,bad test
5322,5,good  gob 
5323,5,tq
5324,5,it's a so dirty <br/>and taste lasee alsooo.....<br/>and cheese is so bad......🤮🤮🤮🤮🤮🤮🤮🤮🤮
5325,5,masala is not tasty and cheez is very less..........
5326,5,Absolutely tasteless food.<br/>it was just Sandwich with max cheese and mayo to attract customers
5327,1,"improvement in taste of khawsa needed, it tastes so faded "
5328,1,good 
5329,5,it was awesome taste 💝
5330,1,Always good at all
5331,5,tast is good but paking is bad
5332,5,very fast delivery 😁😁
5333,5,"Please, take care of the hygienes."
5334,5,good
5335,5,great product and testy
5336,5,I had ordered aloo puri by sending voice instructions to not to add onion but it was delivered with onion.. So not sure what went wrong here if zomato valet missed to consider my voice instructions... Hope this will be taken care from next time.. Overall taste and service was good.. But pls make sure from next time to consider customer's instructions carefully.. This is what customer want... 
5337,5,must.                                              
5338,5,not at all as expected. can't do anything for that. taste was not like that.. 
5339,1,disgusting taste and filthy packaging and rate of the dish is double 
5340,5,not testfull very bad content really very bad content
5341,5,the khawsa was great. the aloo puri should have been a little less spicy. 
5342,5,taste not upto mark. need to upgrade the same so that it's ok
5343,5,very delicious tasty snacks.👌👍
5344,5,verry nice test 
5345,5,please don't use news paper for packing
5346,1,"we got less food, as order 750gm of food and they only give us 450gm"
5347,5,Good
5348,5,"good, i like yellow chutney "
5349,5,"dry khaman , accha dete the pahle , is baar baut bura tha"
5350,1,tasty khaman with more than enough chutney.
5351,5,fack pics I'm not happy this veraity
5352,5,not good for service and item
5353,5,"They really have a very shitty attitude towards the customer , also they don’t really care about sending half orders !!   When I called them they said k “ maam aaj rush kal order karna kal aapko pura order milega “.... also they have charged me the complete amount !"
5354,5,this is not chicken biryani you makes us joke I need my refund
5355,1,I don't like 
5356,5,nice dilevery time
5357,5,"If you can see the chicken feather on the dish, just imagine how sh**y you mood is going to be 🤮🤮"
5358,5,it is very bad smells badly
5359,5,Food is not fresh
5360,5,Kadhi is tasteless.
5361,5,"beshan was not of good quality having smells in bada,jalebi was not made of Desi ghee."
5362,5,Totally waste of whole mood and it’s was not cooked properly the bite in picture is raw 🤮<br/>Never gonna order from here
5363,5,Not good
5364,5,plss kindly send atleast Chatni Marcha along with fafda even didn't got chatni with dal Vada . How can person it dal wada without chatni marcha 
5365,5,Waste of money to buy from this restaurant tase is very bed and missing product ..don't buy because this restaurant was not provide any kind of chatni and chilli all
5366,5,good 
5367,5,hotel service is not good <br/>dey r making to stand delivery partner <br/>no support et all 
5368,5,Take a too much time
5369,5,bahut gatiya
5370,5,Need to improve the taste.
5371,5,gr8
5372,5,plz not re fried 
5373,5,worst poha ever... neither it was cooked proper nor it taste normal<br/>had to throw all
5374,5,not deliver proper item
5375,3,ek dam bakwas test bahot kadva lag raha tha. improve karo test me
5376,3,please stop using stapler pins in packing. it is safety hazard. can mix with food and eaten by customers...
5377,5,if possible would have given rating in negative all items were under cooked and stale
5378,1,The package which I recieved were unpacked
5379,1,no sev no proper plating nothing.. 
5380,5,make customer fool if they don't have idra they send samosa extra just wiast of my money 
5381,5,Worst indori poha ever
5382,5,quantity was poor as compare to 2 plates...and taste also not that good...no taste at all....not at all value for money.
5383,5,Samosa and paties were good .bkhamani was delious .bbohot testy khana tha. Thanks jkm . And I like cheese idala . Very testy 
5384,5,Such a testy food I love it . Thanks you jalaram khaman house for this food delivery service though Zomato . Good price 
5385,1,Khaman <br/><br/>Testy <br/><br/>Patudi <br/><br/>Testy <br/><br/>Patara <br/><br/>Awsome<br/><br/>Inshort good experience. <br/>Quick service.  Food is so hot when it comes. 
